instructions_covered,branches_covered,time_taken_nanos
356,29,7594065
372,31,7685398
372,31,7789776
470,34,8000836
472,35,8090466
646,53,9017844
671,56,9098036
671,56,9281654
695,59,9531908
724,61,10230613
724,61,11126030
810,68,13426471
813,69,13592396
879,77,13749834
882,78,13916811
1021,93,16678366
1021,93,16768507
1024,94,16882322
1053,96,17407798
1053,96,17993428
1053,96,18155415
1053,96,18725967
1114,101,20198538
1117,102,20303187
1118,103,22407025
1118,103,37842344
1118,103,42291709
