instructions_covered,branches_covered,time_taken_nanos
553,43,8267954
553,44,8372883
774,56,11196505
774,58,11295553
816,65,11834514
819,66,11969410
913,81,14514304
916,82,14667705
1073,94,16766574
1076,95,17023050
1076,95,17175679
1126,107,19946692
1126,107,20029068
1195,112,22200034
1198,113,22409581
1199,114,24098131
1202,115,27616501
