instructions_covered,branches_covered,time_taken_nanos
541,40,8948221
541,40,9044553
676,45,9200128
676,46,9369449
679,47,12045131
722,52,12333097
722,53,12427065
780,59,12741241
782,60,12844647
868,69,16309655
868,69,16429121
909,75,19262321
912,76,19431943
977,81,22404176
980,82,22665291
1049,89,24823733
1052,90,24941416
1117,95,25475829
1120,96,25599513
1190,104,29051417
1193,105,29285039
1194,106,31982262
