instructions_covered,branches_covered,time_taken_nanos
226,11,9679406
229,12,9850601
314,20,12310583
314,20,12406585
396,29,13491652
399,30,13926807
472,35,14543245
475,36,14958352
552,45,17841116
555,46,18458476
596,51,19952548
599,52,20157366
653,57,23194883
656,58,23778790
743,64,27393652
746,65,27507357
750,66,28076406
