instructions_covered,branches_covered,time_taken_nanos
171,17,8827592
173,18,8937100
983,34,11292745
1042,38,11575511
1168,45,14670307
1168,45,14768383
1299,55,16040504
1299,55,16301359
1578,66,20538350
1578,66,20851704
1581,67,21415873
1684,76,23592258
2159,85,24044065
2343,98,28845466
2343,98,29060594
2346,99,30285005
2348,100,33791081
2351,101,57687766
2354,102,157128426
