instructions_covered,branches_covered,time_taken_nanos
426,25,9514531
426,26,10109680
938,60,13281805
941,61,13670492
1036,73,16171815
1039,74,16523352
1227,88,19137960
1230,89,19234132
1230,89,19899554
1259,96,23706393
1262,97,23804298
1326,108,26858269
1329,109,26969891
1571,130,29426038
1574,131,29801390
1623,139,34472678
1626,140,34845344
1672,147,36629958
1675,148,37052760
1678,149,40111571
