instructions_covered,branches_covered,time_taken_nanos
351,28,8202350
434,35,8418069
434,35,8489795
542,43,11836309
545,44,12032280
618,50,13961207
621,51,14211973
659,57,15000708
662,58,15067064
734,65,17519143
737,66,17587172
804,72,18125973
804,72,18198320
842,77,21856705
845,78,22021087
911,83,24297643
914,84,24405929
977,89,27679855
980,90,27852463
1045,96,31084159
1048,97,31357287
1048,98,33636147
1051,99,34851181
